Close,High,Low,Open,Volume,SMA_10,SMA_50,RSI
AAPL,AAPL,AAPL,AAPL,AAPL,,,
42.00025177001953,42.4898314572597,41.8519645959978,42.44275724707992,117473600,41.820891571044925,40.47165214538574,62.36466782808648
42.0496826171875,42.423931065450915,41.91316847154397,42.01437785392321,90975200,41.906805419921874,40.505025939941405,57.418714082434064
41.901390075683594,42.16029999793045,41.80723807452251,42.049673641273436,157618800,41.9494083404541,40.535574417114255,47.41696116188277
41.26116943359375,41.7719319011392,40.87515522076287,41.73662714660922,133787200,41.913631439208984,40.54956787109375,42.47440894066791
41.2470588684082,41.61424278256529,41.176445748408966,41.2470588684082,78597600,41.879973602294925,40.55404312133789,42.913486309509565
40.3126220703125,41.211751471864225,40.31026602495378,41.19998201966833,148219600,41.791473388671875,40.54287689208984,41.19061544962917
39.743003845214844,40.64448542985486,39.68416019344019,40.01368320676567,165963200,41.60105514526367,40.52041191101074,33.556739815090395
38.822689056396484,39.994853617877645,38.822689056396484,39.63473074903987,164115200,41.2470516204834,40.479728317260744,26.869160647974
40.665679931640625,40.74335399835745,39.17575794250631,39.559419777386694,150164800,41.03639183044434,40.47126319885254,44.154707845915944
39.622962951660156,41.225863550656555,39.28873141985822,40.87986256946427,163690400,40.76265106201172,40.4334578704834,40.74687944680512
39.18515396118164,40.018381876946876,38.88152237286317,39.36639336976818,166674000,40.48114128112793,40.391115493774414,35.51244403361149
39.49115753173828,40.42559515689415,39.284026695472384,39.49821848374443,153594000,40.225288772583006,40.341250076293946,32.246935987804335
39.23223876953125,39.76418769347283,38.71206288607714,39.222825365285466,150347200,39.958373641967775,40.28545623779297,27.69882649687014
39.634735107421875,39.719470120673925,38.808571421863356,39.45820412910777,121112000,39.79573020935059,40.241463088989256,32.80893837328651
40.39264678955078,40.48679521983576,38.78268492756375,38.808576284621985,138422000,39.710289001464844,40.219473114013674,40.345029829272086
40.6727294921875,41.009313428823425,40.5032595016405,40.62094679554641,107732800,39.746299743652344,40.202897186279294,41.953217375486204
39.632381439208984,40.597415269493986,39.59001213811566,40.24200087033369,140021200,39.735237503051756,40.17873558044434,37.99209522552106
40.02544403076172,40.74098110188406,39.97836983779182,39.985430787160766,116070800,39.85551300048828,40.177016220092774,43.284700282759935
40.778663635253906,40.95519464666193,40.373818895102225,40.71981996478456,113634400,39.86681137084961,40.188485641479495,47.64387055574083
40.58800506591797,40.936358540960995,40.413826532630395,40.53857480933227,89726400,39.96331558227539,40.21278587341308,51.4972730093466
40.988136291503906,41.19055860890034,40.72922277220672,40.81631382407851,91557200,40.14361381530762,40.24973014831543,56.8969684983134
41.12700271606445,41.3882686648598,40.91987551099226,41.13877216433172,100497200,40.30719833374023,40.287294998168946,63.97363972251755
41.383567810058594,41.47065527100543,41.150545641067694,41.19761984721377,86313600,40.52233123779297,40.32835029602051,55.390527520649506
41.953182220458984,42.11794377015775,41.522446145975664,41.54127655044587,106421600,40.75417594909668,40.41492919921875,68.83557060845209
41.85902786254883,42.08969761078911,41.633070204578715,41.85196691020803,83018000,40.900814056396484,40.51842559814453,72.88478792049908
40.6727294921875,41.28234881265261,40.63977719355509,40.898687085229376,139235200,40.900814056396484,40.56753402709961,58.788413238316714
39.00628662109375,40.30084717404898,38.938025962498145,40.15491604282429,261964400,40.838204574584964,40.59967590332031,48.61035514397577
38.89330291748047,39.28873054920499,38.62261995362777,39.26754769569081,146062000,40.72499046325684,40.650140075683595,45.27168323036368
38.35194778442383,39.14986774043818,37.947103080746636,38.99451960242738,134768000,40.48231887817383,40.68088012695313,36.616231238075606
38.519065856933594,38.935680056021816,38.22720354540758,38.276630218119,113528400,40.27542495727539,40.68530517578125,35.66292315162252
38.65321731567383,39.00863167071187,38.45314746794144,38.62967841892952,111852000,40.04193305969238,40.68474021911621,42.58728099611751
38.20600128173828,38.67910286650517,37.808217690504584,38.60142882873194,142623200,39.74983291625976,40.66096702575683,36.33800767433681
38.89801025390625,39.36875951624266,38.09302944629481,38.16129010059142,169709600,39.501277160644534,40.62457801818848,35.74736688730694
39.80184555053711,39.82538085517712,38.900360418451456,39.16868731376048,214277600,39.28614349365235,40.60890197753906,44.62325727497525
41.56010437011719,41.837844737830906,40.90811557307444,41.24469960427315,266157600,39.25625114440918,40.631121520996096,53.29897751015185
41.63541793823242,41.77899660543915,41.05875081606934,41.3976908561332,136272800,39.35251998901367,40.65851936340332,52.954076367389064
43.268917083740234,43.36777399374625,41.93669586462417,41.955526265320316,224805200,39.77878303527832,40.71185531616211,59.44350839407258
43.58195877075195,44.17274768276429,43.48545432948765,43.58666367652256,169805600,40.24764862060547,40.75732948303223,58.37358915061925
43.791446685791016,43.83145993830345,43.231253967553805,43.54195017510666,113611200,40.79159851074219,40.79065826416016,59.8181925309389
44.099796295166016,44.109209701260625,43.596094668095986,43.90914339584278,92844800,41.34967155456543,40.832884521484374,69.11772279094473
44.73059844970703,44.80827251787199,44.168053160450754,44.18923960924648,111957200,41.95740966796875,40.888997879028324,86.10449991963914
44.560462951660156,44.90779810307866,44.29110136539484,44.77311911263628,104848800,42.592855834960936,40.95639625549316,85.48818312289667
44.45650863647461,44.7825793299708,44.387988363034815,44.65971153736071,83115200,43.148705673217776,41.01601921081543,90.44270098855364
44.052459716796875,44.20131867602267,43.735842392603615,44.13279481003145,94780800,43.57376708984375,41.06468963623047,85.5429108537085
44.46358871459961,44.529751056550694,43.94849517910468,43.96503666593764,76732400,43.86411552429199,41.122288665771485,86.03965428144716
